TerminalID,Location,Address,Type,Manufacturer,Model,CustomerID,Region,Status,SoftwareVersion,LastService
TRM-0042,Harbor Hospitality - Hotel B,200 Harbor Blvd,ATM,Genmega,G2500,CUST-008,Central,Active,v4.1.2,2025-12-10
TRM-0043,Harbor Hospitality - Casino Floor,55 Lucky Lane,ATM,NCR,SelfServ 34,CUST-008,Central,Active,v8.9.0,2025-12-20
TRM-0044,Harbor Hospitality - Casino Bar,55 Lucky Lane Bar Level,ATM,Genmega,GT3000,CUST-008,Central,Active,v3.9.1,2025-11-28
TRM-0045,Harbor Hospitality - Convention Ctr,10 Convention Dr,Kiosk,KAL,MoniMax 5600,CUST-008,Central,Maintenance,v6.0.3,2025-09-30
TRM-0046,Heritage Trust - Headquarters,77 Heritage Sq,ATM,Diebold,DN Series 200,CUST-009,East,Active,v10.1.0,2025-12-16
TRM-0047,Heritage Trust - Midtown,190 Midtown Ave,ATM,Diebold,DN Series 100,CUST-009,Central,Active,v10.0.5,2025-11-18
TRM-0048,Heritage Trust - Uptown,460 Uptown Blvd,Smart Safe,Tidel,Series 4C,CUST-009,North,Active,v2.9.1,2025-12-08
TRM-0049,Heritage Trust - Suburban,980 Suburbia Dr,ATM,Nautilus Hyosung,MX8800,CUST-009,East,Offline,v7.2.0,2025-08-22
TRM-0050,Heritage Trust - Old Branch,5 Historic Ave,ATM,NCR,SelfServ 34,CUST-009,East,Decommissioned,v8.5.0,2024-01-15
TRM-0051,Apex Logistics - Depot 1,1 Industrial Pkwy,Smart Safe,Tidel,Series 3e,CUST-010,North,Active,v2.8.4,2025-12-05
TRM-0052,Apex Logistics - Depot 2,2 Industrial Pkwy,Smart Safe,Brinks,CompuSafe 2000,CUST-010,South,Active,v3.0.8,2025-11-22
TRM-0053,Apex Logistics - Depot 3,3 Industrial Pkwy,Smart Safe,Brinks,CompuSafe Galileo,CUST-010,East,Active,v3.1.0,2025-12-12
TRM-0054,Apex Logistics - Depot 4,4 Industrial Pkwy,Smart Safe,Tidel,Series 4C,CUST-010,West,Maintenance,v2.9.1,2025-10-01
TRM-0055,Apex Logistics - HQ Kiosk,10 Apex Tower,Kiosk,Diebold,Vynamic Xperience,CUST-010,Central,Active,v5.5.0,2025-12-19
TRM-0056,Apex Logistics - Recycler Vault,Apex Secure Vault,Recycler,Glory,CI-10,CUST-010,Central,Active,v4.5.1,2025-11-14
TRM-0057,First National Bank - Harbor ATM,Fishermans Wharf Dock 3,ATM,NCR,SelfServ 84,CUST-001,East,Active,v9.4.2,2025-12-08
TRM-0058,First National Bank - Stadium,City Stadium Gate 1,ATM,Diebold,DN Series 200,CUST-001,Central,Active,v10.1.0,2025-11-10
TRM-0059,Metro Credit Union - Drive Safe,900 West Service Rd,Smart Safe,Tidel,Series 4C,CUST-002,West,Active,v2.9.1,2025-12-03
TRM-0060,Pinnacle Savings - Old Town,14 Heritage Way,ATM,Nautilus Hyosung,MX4000W,CUST-003,Central,Decommissioned,v6.9.0,2023-11-01
